transaction_id,transactional_date,product_id,customer_id,payments,credit_card,loyalty_card,cost,quantity,price
1,04-05-2021 02:00,P0494,4,visa,4.04159E+15,F,17.33,2,18.29
2,04-05-2021 03:04,P0221,5,visa,4.0416E+15,F,0.59,1,1.49
3,04-05-2021 03:56,P0625,5,visa,4.04159E+15,F,5.15,3,5.89
4,04-05-2021 05:20,P0431,8,mastercard,5.10875E+15,F,10.67,2,11.59
5,04-05-2021 05:45,P0058,5,mastercard,5.10875E+15,T,11.38,2,12.39
6,04-05-2021 06:58,P0385,6,americanexpress,3.74289E+14,F,13.22,1,14.69
7,04-05-2021 07:03,P0575,4,visa,4.0416E+12,F,2.81,1,3.99
8,04-05-2021 07:45,P0187,5,americanexpress,3.74283E+14,F,4.17,1,4.89
9,04-05-2021 09:58,P0074,7,mastercard,5.10875E+15,F,18.11,1,19.79
10,04-05-2021 15:51,P0456,5,mastercard,5.04837E+15,T,18.35,2,20.19
11,04-05-2021 16:13,P0519,5,mastercard,5.04838E+15,F,12.45,3,14.09
12,04-05-2021 17:07,P0071,12,visa,4.04159E+15,F,13.09,5,14.69
13,04-05-2021 19:57,P0550,5,americanexpress,3.74288E+14,F,15.35,1,17.09
14,04-05-2021 23:06,P0507,4,mastercard,5.04838E+15,F,8.17,3,8.89
15,05-05-2021 05:22,P0684,6,visa,4.0416E+15,F,6.15,1,7.49
16,05-05-2021 05:58,P0321,7,americanexpress,3.74288E+14,T,17.35,2,18.29
17,05-05-2021 07:40,P0450,9,visa,4.04159E+12,F,3.76,2,4.79
18,05-05-2021 07:58,P0457,10,americanexpress,3.74283E+14,F,2.02,1,2.59
19,05-05-2021 09:57,P0389,5,mastercard,5.04838E+15,F,5.95,1,7.19
20,05-05-2021 10:11,P0152,7,americanexpress,3.74288E+14,F,16.33,1,17.99
21,05-05-2021 14:01,P0282,7,visa,4.04159E+15,F,10.86,1,11.59
22,05-05-2021 14:31,P0480,5,visa,4.0416E+12,F,12.02,2,13.49
23,05-05-2021 15:00,P0634,6,mastercard,5.10875E+15,F,16.47,1,18.09
24,05-05-2021 19:15,P0347,6,visa,4.0416E+12,F,5.37,1,6.29
25,05-05-2021 19:37,P0161,6,visa,4.0416E+15,F,19.42,1,21.29
26,05-05-2021 19:58,P0455,6,mastercard,5.10876E+15,F,1.63,2,1.79
27,05-05-2021 20:09,P0622,5,visa,4.0416E+15,F,13.87,1,14.89
28,06-05-2021 05:08,P0190,3,mastercard,5.04837E+15,F,18.93,2,20.89
29,06-05-2021 05:16,P0432,7,mastercard,5.10876E+15,F,17.36,1,18.39
30,06-05-2021 05:58,P0524,4,americanexpress,3.74284E+14,T,10.66,2,11.59
31,06-05-2021 14:58,P0042,5,visa,4.0416E+15,T,19.59,1,21.39
32,06-05-2021 16:16,P0474,4,visa,4.04159E+15,F,15.66,2,17.49
33,06-05-2021 16:43,P0500,4,mastercard,5.04837E+15,F,7.53,1,8.29
34,06-05-2021 18:41,P0517,4,mastercard,5.04838E+15,F,5.11,1,5.79
35,07-05-2021 02:32,P0413,7,,6.3345E+18,F,7.35,2,8.19
36,07-05-2021 02:59,P0497,6,mastercard,5.10876E+15,F,19.75,1,21.39
37,07-05-2021 04:36,P0560,4,visa,4.04159E+12,F,1.4,2,1.69
38,07-05-2021 09:44,P0249,5,mastercard,5.04837E+15,F,4.12,3,4.89
39,07-05-2021 13:51,P0599,2,visa,4.0416E+12,T,13.54,2,14.79
40,07-05-2021 14:50,P0396,9,mastercard,5.10875E+15,F,4.18,1,4.89
41,07-05-2021 21:36,P0337,6,mastercard,5.10875E+15,F,19.24,6,21.19
42,07-05-2021 22:59,P0445,4,americanexpress,3.74284E+14,F,0.15,1,1.19
43,08-05-2021 00:23,P0097,6,americanexpress,3.74288E+14,F,9.91,7,11.29
44,08-05-2021 01:20,P0384,4,mastercard,5.10875E+15,F,4.83,3,5.19
45,08-05-2021 01:48,P0431,4,americanexpress,3.74284E+14,F,10.67,4,11.59
46,08-05-2021 03:04,P0170,10,americanexpress,3.74288E+14,F,8.13,4,8.89
47,08-05-2021 11:56,P0451,6,mastercard,5.04838E+15,F,2.41,2,3.29
48,08-05-2021 13:06,P0694,7,americanexpress,3.74284E+14,F,0.23,3,1.29
49,08-05-2021 13:43,P0661,3,visa,4.04159E+15,F,8.21,4,8.99
50,08-05-2021 14:01,P0541,13,americanexpress,3.74288E+14,F,2.8,5,3.89
51,08-05-2021 14:58,P0736,4,visa,4.04159E+12,F,2.87,1,3.99
52,08-05-2021 16:42,P0346,6,mastercard,5.10875E+15,F,12.21,2,13.79
53,08-05-2021 17:09,P0335,4,mastercard,5.04838E+15,F,17.17,1,18.19
54,08-05-2021 17:35,P0322,5,americanexpress,3.74288E+14,T,13.65,2,14.89
55,08-05-2021 21:40,P0484,4,mastercard,5.10875E+15,F,10.9,1,11.59
56,08-05-2021 22:40,P0035,6,visa,4.0416E+15,F,11.76,3,13.09
57,08-05-2021 23:32,P0268,7,americanexpress,3.74289E+14,T,11.93,1,13.39
58,09-05-2021 01:25,P0741,5,americanexpress,3.74284E+14,F,8.06,2,8.69
59,09-05-2021 01:54,P0454,5,visa,4.04159E+15,F,5.79,2,6.99
60,09-05-2021 03:19,P0474,5,visa,4.0416E+12,F,15.66,3,17.49
61,09-05-2021 06:30,P0582,6,visa,4.04159E+15,F,5.55,4,6.59
62,09-05-2021 06:58,P0096,6,mastercard,5.04837E+15,F,15.64,2,17.49
63,09-05-2021 10:13,P0580,8,americanexpress,3.74284E+14,F,3.39,5,4.59
64,09-05-2021 11:56,P0455,7,americanexpress,3.74288E+14,F,1.63,1,1.79
65,09-05-2021 15:47,P0531,6,americanexpress,3.74288E+14,F,3.2,2,4.39
66,09-05-2021 17:07,P0546,5,americanexpress,3.74284E+14,F,3.2,2,4.39
67,09-05-2021 18:01,P0676,9,mastercard,5.04838E+15,F,4.72,3,4.99
68,09-05-2021 18:28,P0511,6,visa,4.0416E+15,F,7.06,1,8.19
69,09-05-2021 23:49,P0468,5,americanexpress,3.74289E+14,F,13.48,5,14.79
70,10-05-2021 01:14,P0100,5,mastercard,5.10876E+15,F,12.05,1,13.59
71,10-05-2021 03:11,P0357,5,mastercard,5.10876E+15,F,3.34,1,4.49
72,10-05-2021 03:32,P0225,5,mastercard,5.10876E+15,T,7.79,4,8.29
73,10-05-2021 06:25,P0410,8,mastercard,5.10875E+15,F,2.95,5,4.09
74,10-05-2021 07:50,P0560,5,visa,4.0416E+12,F,1.4,3,1.69
75,10-05-2021 08:28,P0353,5,visa,4.04159E+12,T,15.1,3,16.69
76,10-05-2021 15:11,P0411,10,mastercard,5.04837E+15,F,13.46,1,14.79
77,10-05-2021 15:59,P0485,6,visa,4.0416E+12,F,19.85,2,21.39
78,10-05-2021 19:28,P0622,4,mastercard,5.10875E+15,F,13.87,1,14.89
79,10-05-2021 23:56,P0527,5,americanexpress,3.74284E+14,F,16.63,3,18.09
80,11-05-2021 00:48,P0482,10,americanexpress,3.74283E+14,F,2.75,1,3.89
81,11-05-2021 03:15,P0291,7,americanexpress,3.74283E+14,F,14.13,1,14.89
82,11-05-2021 04:09,P0697,3,mastercard,5.10876E+15,F,19.48,1,21.29
83,11-05-2021 04:15,P0535,6,visa,4.0416E+15,F,12.16,1,13.69
84,11-05-2021 04:35,P0021,6,visa,4.0416E+15,F,14.13,2,14.89
85,11-05-2021 06:56,P0516,9,mastercard,5.10875E+15,F,6.12,3,7.49
86,11-05-2021 07:20,P0628,8,mastercard,5.04838E+15,T,16.23,1,17.99
87,11-05-2021 15:06,P0461,10,mastercard,5.04838E+15,T,15.83,3,17.69
88,11-05-2021 15:41,P0278,6,americanexpress,3.74284E+14,F,13.24,2,14.69
89,11-05-2021 17:38,P0628,5,mastercard,5.04837E+15,F,16.23,3,17.99
90,11-05-2021 18:34,P0460,6,americanexpress,3.74289E+14,F,4.37,1,4.99
91,11-05-2021 19:51,P0258,6,mastercard,5.04837E+15,F,16.65,1,18.09
92,12-05-2021 01:01,P0748,5,mastercard,5.10875E+15,F,10.22,2,11.49
93,12-05-2021 03:15,P0214,5,mastercard,5.04837E+15,F,3.27,3,4.49
94,12-05-2021 03:19,P0471,6,mastercard,5.04838E+15,F,14.12,1,14.89
95,12-05-2021 04:20,P0258,7,visa,4.04159E+12,F,16.65,1,18.09
96,12-05-2021 05:16,P0635,9,,3.55366E+15,F,7.98,1,8.59
97,12-05-2021 09:56,P0389,5,americanexpress,3.74284E+14,T,5.95,1,7.19
98,12-05-2021 10:12,P0291,4,visa,4.0416E+15,F,14.13,1,14.89
99,12-05-2021 11:24,P0423,9,americanexpress,3.74284E+14,F,14.04,1,14.89
100,12-05-2021 11:36,P0340,5,visa,4.0416E+15,F,19.56,1,21.29
101,12-05-2021 15:11,P0489,3,americanexpress,3.74288E+14,T,8.46,3,9.49
102,12-05-2021 18:32,P0545,8,mastercard,5.10876E+15,T,6.62,1,7.89
103,12-05-2021 19:00,P0671,8,mastercard,5.10875E+15,F,19.14,1,21.09
104,12-05-2021 21:50,P0512,7,mastercard,5.04838E+15,F,15.55,3,17.39
105,12-05-2021 23:43,P0032,5,visa,4.0416E+15,F,5.52,1,6.59
106,13-05-2021 01:00,P0437,4,visa,4.04159E+12,F,0.1,3,1.19
107,13-05-2021 03:26,P0429,9,americanexpress,3.74283E+14,F,0.78,2,1.59
108,13-05-2021 07:08,P0505,8,americanexpress,3.74283E+14,F,3.97,3,4.89
109,13-05-2021 07:17,P0423,8,mastercard,5.10875E+15,F,14.04,3,14.89
110,13-05-2021 15:07,P0391,8,visa,4.04159E+15,F,1.6,4,1.79
111,13-05-2021 18:01,P0430,6,americanexpress,3.74284E+14,F,17.67,2,18.99
112,13-05-2021 18:45,P0584,8,mastercard,5.04837E+15,T,12.95,1,14.59
113,14-05-2021 02:52,P0131,5,visa,4.0416E+15,F,11.71,1,12.99
114,14-05-2021 12:09,P0297,6,mastercard,5.04837E+15,F,17.82,1,19.29
115,14-05-2021 17:24,P0294,6,americanexpress,3.74289E+14,F,12.38,1,13.99
116,14-05-2021 17:42,P0417,5,mastercard,5.10876E+15,F,16.73,2,18.09
117,14-05-2021 18:30,P0690,9,mastercard,5.10875E+15,F,11.93,4,13.39
118,14-05-2021 18:57,P0376,5,visa,4.04159E+12,F,10.3,1,11.49
119,14-05-2021 19:50,P0086,8,mastercard,5.10875E+15,F,1.77,2,2.09
120,14-05-2021 22:03,P0364,4,mastercard,5.10876E+15,F,15.78,1,17.59
121,14-05-2021 22:57,P0074,9,visa,4.0416E+15,F,18.11,2,19.79
122,15-05-2021 01:03,P0305,6,americanexpress,3.74283E+14,F,8.74,3,9.99
123,15-05-2021 01:31,P0497,8,americanexpress,3.74288E+14,T,19.75,5,21.39
124,15-05-2021 04:17,P0527,5,,3.58011E+15,F,16.63,1,18.09
125,15-05-2021 11:50,P0205,8,visa,4.04159E+12,F,16.68,1,18.09
126,15-05-2021 12:00,P0423,6,americanexpress,3.74288E+14,F,14.04,1,14.89
127,15-05-2021 14:28,P0526,4,visa,4.0416E+12,F,3.83,1,4.79
128,15-05-2021 14:41,P0368,3,mastercard,5.10876E+15,F,9.52,3,10.99
129,15-05-2021 18:09,P0592,12,americanexpress,3.74289E+14,F,7.44,1,8.29
130,15-05-2021 18:28,P0547,8,visa,4.0416E+15,F,20,2,21.49
131,15-05-2021 21:16,P0348,3,mastercard,5.04837E+15,F,6.83,1,8.09
132,15-05-2021 22:08,P0368,6,mastercard,5.10876E+15,F,9.52,1,10.99
133,15-05-2021 22:12,P0566,4,americanexpress,3.74283E+14,F,1.77,1,2.09
134,15-05-2021 23:44,P0329,6,mastercard,5.04837E+15,F,3.45,4,4.59
135,16-05-2021 00:40,P0328,7,americanexpress,3.74289E+14,F,3.18,3,4.39
136,16-05-2021 04:48,P0585,6,visa,4.04159E+15,F,3.81,3,4.79
